Item Description,tag,flow_rate,fluid_head,rpm,spec_gravity,power_kw,useful_kw,diameter_proxy,weight_kg
P-1202 A/B,P1202AB,53.0,72.0,3600.0,50.0,1.3500000000000003,3816.0,0.00235702260330043,720.0
P-1203 A/B,P1203AB,1.0,76.0,3600.0,50.0,1.5666666666666667,76.0,0.0024216105235165936,340.0
P-1204 A/B,P1204AB,128.0,40.0,1800.0,15.0,1.4333333333333336,5120.0,0.003513641842679509,1400.0
P-140,P140,1.0,20.0,1800.0,15.0,0.9333333333333335,20.0,0.0024845199736194773,240.0
P-143,P143,20.0,20.0,1800.0,15.0,0.9333333333333335,400.0,0.0024845199736194773,350.0
P-144,P144,19.0,20.0,1800.0,15.0,17.0,380.0,0.0024845199736194773,440.0
P-145,P145,14.0,20.0,1800.0,15.0,1.1,280.0,0.0024845199736194773,320.0
P-146,P146,5.5,20.0,1800.0,15.0,0.9333333333333335,110.0,0.0024845199736194773,280.0
P-147,P147,5.5,20.0,1800.0,15.0,0.9333333333333335,110.0,0.0024845199736194773,280.0
P-148,P148,14.0,60.0,1800.0,15.0,1.1,840.0,0.004303314826728621,560.0
P-149,P149,2.0,20.0,1800.0,15.0,0.9333333333333335,40.0,0.0024845199736194773,250.0
P-153 A/B,P153AB,1.0,30.0,1800.0,15.0,2.2,30.0,0.003042903095560421,300.0
P-2101 A/B,P2101AB,54.0,47.0,3600.0,50.0,1.5666666666666667,2538.0,0.0019043484995824155,870.0
P-2102 A/B,P2102AB,54.0,72.0,3600.0,50.0,1.3500000000000003,3888.0,0.00235702260330043,730.0
P-2103 A/B,P2103AB,1.0,76.0,3600.0,50.0,1.5666666666666667,76.0,0.0024216105235165936,340.0
P-2104 A/B,P2104AB,128.0,40.0,1800.0,15.0,1.4333333333333336,5120.0,0.003513641842679509,1400.0
P-301 A/B,P301AB,5.5,130.0,3600.0,50.0,0.9166666666666666,715.0,0.0031671539577289515,2600.0
P-302 A/B,P302AB,1.5,360.0,3533.3333333333335,200.0,0.8666666666666667,540.0,0.005369905459143501,3600.0
P-303 A/B,P303AB,289.0,342.0,2600.0,100.0,1.125,98838.0,0.00711278538530544,11100.0
P-304 A/B,P304AB,153.0,382.0,3600.0,50.0,1.1333333333333335,58446.0,0.005429116744517486,8400.0
P-305 A/B,P305AB,4.0,111.0,3600.0,50.0,1.1333333333333335,444.0,0.002926570486090602,450.0
P-306 A/B,P306AB,6.0,40.0,1800.0,15.0,0.9333333333333335,240.0,0.003513641842679509,380.0
P-307 A/B,P307AB,61.0,251.0,3600.0,50.0,1.1333333333333335,15311.0,0.004400827642598342,4500.0
P-308,P308,6.0,42.0,1800.0,15.0,1.1,252.0,0.003600411497115249,390.0
P-309,P309,6.0,42.0,1800.0,15.0,1.1,252.0,0.003600411497115249,390.0
P-501 A/B,P501AB,8.0,26.0,1800.0,15.0,11.0,208.0,0.002832788617088886,380.0
P-502 A/B,P502AB,2.0,15.0,1800.0,15.0,1.1,30.0,0.0021516574133643106,250.0
P-503 A/B,P503AB,1.0,50.0,3600.0,50.0,1.3499999999999999,50.0,0.0019641855027503585,370.0
P-504 A/B,P504AB,8.0,26.0,1800.0,15.0,11.0,208.0,0.002832788617088886,380.0
P-701 A/B,P701AB,0.5,1150.0,3600.0,200.0,0.5333333333333333,575.0,0.00941990275172401,8100.0
P-701 A/B/C,P701ABC,133.0,50.0,1800.0,15.0,1.1,6650.0,0.003928371004409502,1500.0
P-702 A/B,P702AB,3.0,148.0,3600.0,50.0,1.3499999999999999,444.0,0.003379312515893646,2600.0
P-702 A/B/C,P702ABC,100.0,17.0,1800.0,15.0,1.2666666666666668,1700.0,0.002290614235181692,730.0
P-703 A/B,P703AB,2.0,55.0,3600.0,50.0,1.5666666666666667,110.0,0.0020600551347321134,420.0
P-704 A/B,P704AB,1.5,44.0,3600.0,50.0,1.5666666666666667,66.0,0.0018425693274633974,360.0
P-705,P705,1.5,42.0,1800.0,15.0,0.9333333333333335,63.0,0.003600411497115249,350.0
P-802 A/B,P802AB,1.5,507.0,3500.0,200.0,0.8666666666666666,760.5,0.006433331569132021,4500.0
P-810 A/B,P810AB,125.0,1150.0,3600.0,200.0,0.5333333333333333,143750.0,0.00941990275172401,16400.0
P-812/16,P81216,67.0,30.0,2200.0,100.0,1.3,2010.0,0.002489647987528188,760.0
P-901 A/B,P901AB,36.4,96.0,3600.0,50.0,1.7833333333333332,3494.3999999999996,0.0027216552690030715,720.0
P-904,P904,1.5,20.0,1800.0,15.0,0.9333333333333335,30.0,0.0024845199736194773,250.0
P-905,P905,7.0,20.0,1800.0,15.0,1.1,140.0,0.0024845199736194773,290.0
P-906 A/B,P906AB,2.2,225.0,3600.0,200.0,0.8666666666666666,495.00000000000006,0.004166666665509259,2900.0
P-907 A/B,P907AB,17.0,20.0,1800.0,15.0,0.9333333333333335,340.0,0.0024845199736194773,340.0
P-910,P910,17.0,20.0,1800.0,15.0,0.9333333333333335,340.0,0.0024845199736194773,340.0
P-911 A/B,P911AB,17.0,20.0,1800.0,15.0,0.9333333333333335,340.0,0.0024845199736194773,340.0
P-913,P913,345.0,12.0,3000.0,100.0,80.0,4140.0,0.0011547005379943514,1700.0
