tag,length_ft,width_in,flow_tph,belt_surface_area,weight_kg
P60,5.0,516.6666666666666,165.0,2583.333333333333,1134.0
P61,5.0,533.3333333333334,30.0,2666.666666666667,1043.0
P62,5.0,533.3333333333334,45.0,2666.666666666667,1134.0
P63,5.0,533.3333333333334,60.0,2666.666666666667,1134.0
P64,5.0,533.3333333333334,75.0,2666.666666666667,1134.0
P65,5.0,533.3333333333334,90.0,2666.666666666667,1134.0
P66,5.0,533.3333333333334,105.0,2666.666666666667,1134.0
P67,5.0,533.3333333333334,120.0,2666.666666666667,1134.0
P68,5.0,533.3333333333334,135.0,2666.666666666667,1134.0
P69,5.0,533.3333333333334,150.0,2666.666666666667,1134.0
P70,5.0,533.3333333333334,165.0,2666.666666666667,1134.0
P71,5.0,550.0,30.0,2750.0,1043.0
P72,5.0,550.0,45.0,2750.0,1134.0
P73,5.0,550.0,60.0,2750.0,1134.0
P74,5.0,550.0,75.0,2750.0,1134.0
P75,5.0,550.0,90.0,2750.0,1134.0
P76,5.0,550.0,105.0,2750.0,1134.0
P77,5.0,550.0,120.0,2750.0,1134.0
P78,5.0,550.0,135.0,2750.0,1134.0
P79,5.0,550.0,150.0,2750.0,1134.0
P80,5.0,550.0,165.0,2750.0,1134.0
P81,5.0,566.6666666666666,30.0,2833.333333333333,1134.0
P82,5.0,566.6666666666666,45.0,2833.333333333333,1134.0
P83,5.0,566.6666666666666,60.0,2833.333333333333,1134.0
P84,5.0,566.6666666666666,75.0,2833.333333333333,1134.0
P85,5.0,566.6666666666666,90.0,2833.333333333333,1134.0
P86,5.0,566.6666666666666,105.0,2833.333333333333,1134.0
P87,5.0,566.6666666666666,120.0,2833.333333333333,1134.0
P88,5.0,566.6666666666666,135.0,2833.333333333333,1134.0
P89,5.0,566.6666666666666,150.0,2833.333333333333,1134.0
P90,5.0,566.6666666666666,165.0,2833.333333333333,1225.0
P91,5.0,583.3333333333334,30.0,2916.666666666667,1134.0
P92,5.0,583.3333333333334,45.0,2916.666666666667,1134.0
P93,5.0,583.3333333333334,60.0,2916.666666666667,1134.0
P94,5.0,583.3333333333334,75.0,2916.666666666667,1134.0
P95,5.0,583.3333333333334,90.0,2916.666666666667,1134.0
P96,5.0,583.3333333333334,105.0,2916.666666666667,1134.0
P97,5.0,583.3333333333334,120.0,2916.666666666667,1134.0
P98,5.0,583.3333333333334,135.0,2916.666666666667,1134.0
P99,5.0,583.3333333333334,150.0,2916.666666666667,1134.0
P100,5.0,583.3333333333334,165.0,2916.666666666667,1134.0
P101,5.0,600.0,30.0,3000.0,1134.0
P102,5.0,600.0,45.0,3000.0,1134.0
P103,5.0,600.0,60.0,3000.0,1134.0
P104,5.0,600.0,75.0,3000.0,1134.0
P105,5.0,600.0,90.0,3000.0,1134.0
P106,5.0,600.0,105.0,3000.0,1134.0
P107,5.0,600.0,120.0,3000.0,1134.0
P108,5.0,600.0,135.0,3000.0,1134.0
P109,5.0,600.0,150.0,3000.0,1134.0
P110,5.0,600.0,165.0,3000.0,1134.0
P111,10.0,450.0,30.0,4500.0,953.0
P112,10.0,450.0,45.0,4500.0,953.0
P113,10.0,450.0,60.0,4500.0,953.0
P114,10.0,450.0,75.0,4500.0,998.0
P115,10.0,450.0,90.0,4500.0,998.0
P116,10.0,450.0,105.0,4500.0,998.0
P117,10.0,450.0,120.0,4500.0,998.0
P118,10.0,450.0,135.0,4500.0,998.0
P119,10.0,450.0,150.0,4500.0,1043.0
P120,10.0,450.0,165.0,4500.0,1043.0
P121,10.0,466.6666666666667,30.0,4666.666666666667,1043.0
P122,10.0,466.6666666666667,45.0,4666.666666666667,1043.0
P123,10.0,466.6666666666667,60.0,4666.666666666667,1043.0
P124,10.0,466.6666666666667,75.0,4666.666666666667,1043.0
P125,10.0,466.6666666666667,90.0,4666.666666666667,1043.0
P126,10.0,466.6666666666667,105.0,4666.666666666667,1043.0
P127,10.0,466.6666666666667,120.0,4666.666666666667,1134.0
P128,10.0,466.6666666666667,135.0,4666.666666666667,1134.0
P129,10.0,466.6666666666667,150.0,4666.666666666667,1134.0
P130,10.0,466.6666666666667,165.0,4666.666666666667,1134.0
P131,10.0,483.3333333333333,30.0,4833.333333333333,1043.0
P132,10.0,483.3333333333333,45.0,4833.333333333333,1043.0
P133,10.0,483.3333333333333,60.0,4833.333333333333,1134.0
P134,10.0,483.3333333333333,75.0,4833.333333333333,1134.0
P135,10.0,483.3333333333333,90.0,4833.333333333333,1134.0
P136,10.0,483.3333333333333,105.0,4833.333333333333,1043.0
P137,10.0,483.3333333333333,120.0,4833.333333333333,1134.0
P138,10.0,483.3333333333333,135.0,4833.333333333333,1134.0
P139,10.0,483.3333333333333,150.0,4833.333333333333,1134.0
P140,10.0,483.3333333333333,165.0,4833.333333333333,1134.0
P141,10.0,500.0,30.0,5000.0,1043.0
P142,10.0,500.0,45.0,5000.0,1043.0
P143,10.0,500.0,60.0,5000.0,1134.0
P144,10.0,500.0,75.0,5000.0,1134.0
P145,10.0,500.0,90.0,5000.0,1134.0
P146,10.0,500.0,105.0,5000.0,1134.0
P147,10.0,500.0,120.0,5000.0,1134.0
P148,10.0,500.0,135.0,5000.0,1134.0
P149,10.0,500.0,150.0,5000.0,1134.0
P150,10.0,500.0,165.0,5000.0,1134.0
P151,10.0,516.6666666666666,30.0,5166.666666666666,1043.0
P152,10.0,516.6666666666666,45.0,5166.666666666666,1134.0
P153,10.0,516.6666666666666,60.0,5166.666666666666,1134.0
P154,10.0,516.6666666666666,75.0,5166.666666666666,1134.0
P155,10.0,516.6666666666666,90.0,5166.666666666666,1134.0
P156,10.0,516.6666666666666,105.0,5166.666666666666,1134.0
P157,10.0,516.6666666666666,120.0,5166.666666666666,1134.0
P158,10.0,516.6666666666666,135.0,5166.666666666666,1134.0
P159,10.0,516.6666666666666,150.0,5166.666666666666,1134.0
P160,10.0,516.6666666666666,165.0,5166.666666666666,1134.0
P161,10.0,533.3333333333334,30.0,5333.333333333334,1043.0
P162,10.0,533.3333333333334,45.0,5333.333333333334,1134.0
P163,10.0,533.3333333333334,60.0,5333.333333333334,1134.0
P164,10.0,533.3333333333334,75.0,5333.333333333334,1134.0
P165,10.0,533.3333333333334,90.0,5333.333333333334,1134.0
P166,10.0,533.3333333333334,105.0,5333.333333333334,1134.0
P167,10.0,533.3333333333334,120.0,5333.333333333334,1134.0
P168,10.0,533.3333333333334,135.0,5333.333333333334,1134.0
P169,10.0,533.3333333333334,150.0,5333.333333333334,1134.0
P170,10.0,533.3333333333334,165.0,5333.333333333334,1225.0
P171,10.0,550.0,30.0,5500.0,1134.0
P172,10.0,550.0,45.0,5500.0,1134.0
P173,10.0,550.0,60.0,5500.0,1134.0
P174,10.0,550.0,75.0,5500.0,1134.0
P175,10.0,550.0,90.0,5500.0,1134.0
P176,10.0,550.0,105.0,5500.0,1134.0
P177,10.0,550.0,120.0,5500.0,1134.0
P178,10.0,550.0,135.0,5500.0,1134.0
P179,10.0,550.0,150.0,5500.0,1134.0
P180,10.0,550.0,165.0,5500.0,1225.0
P181,10.0,566.6666666666666,30.0,5666.666666666666,1134.0
P182,10.0,566.6666666666666,45.0,5666.666666666666,1134.0
P183,10.0,566.6666666666666,60.0,5666.666666666666,1134.0
P184,10.0,566.6666666666666,75.0,5666.666666666666,1134.0
P185,10.0,566.6666666666666,90.0,5666.666666666666,1134.0
P186,10.0,566.6666666666666,105.0,5666.666666666666,1134.0
P187,10.0,566.6666666666666,120.0,5666.666666666666,1134.0
P188,10.0,566.6666666666666,135.0,5666.666666666666,1134.0
P189,10.0,566.6666666666666,150.0,5666.666666666666,1134.0
P190,10.0,566.6666666666666,165.0,5666.666666666666,1225.0
P191,10.0,583.3333333333334,30.0,5833.333333333334,1134.0
P192,10.0,583.3333333333334,45.0,5833.333333333334,1134.0
P193,10.0,583.3333333333334,60.0,5833.333333333334,1134.0
P194,10.0,583.3333333333334,75.0,5833.333333333334,1134.0
P195,10.0,583.3333333333334,90.0,5833.333333333334,1134.0
P196,10.0,583.3333333333334,105.0,5833.333333333334,1134.0
P197,10.0,583.3333333333334,120.0,5833.333333333334,1134.0
P198,10.0,583.3333333333334,135.0,5833.333333333334,1225.0
P199,10.0,583.3333333333334,150.0,5833.333333333334,1225.0
P200,10.0,583.3333333333334,165.0,5833.333333333334,1134.0
P201,10.0,600.0,30.0,6000.0,1134.0
P202,10.0,600.0,45.0,6000.0,1134.0
P203,10.0,600.0,60.0,6000.0,1134.0
P204,10.0,600.0,75.0,6000.0,1134.0
P205,10.0,600.0,90.0,6000.0,1134.0
P206,10.0,600.0,105.0,6000.0,1134.0
P207,10.0,600.0,120.0,6000.0,1225.0
P208,10.0,600.0,135.0,6000.0,1225.0
P209,10.0,600.0,150.0,6000.0,1225.0
P210,10.0,600.0,165.0,6000.0,1225.0
P211,15.0,450.0,30.0,6750.0,998.0
P212,15.0,450.0,45.0,6750.0,998.0
P213,15.0,450.0,60.0,6750.0,998.0
P214,15.0,450.0,75.0,6750.0,1043.0
P215,15.0,450.0,90.0,6750.0,998.0
P216,15.0,450.0,105.0,6750.0,1043.0
P217,15.0,450.0,120.0,6750.0,1043.0
P218,15.0,450.0,135.0,6750.0,1043.0
P219,15.0,450.0,150.0,6750.0,1043.0
P220,15.0,450.0,165.0,6750.0,1043.0
P221,15.0,466.6666666666667,30.0,7000.0,1043.0
P222,15.0,466.6666666666667,45.0,7000.0,1043.0
P223,15.0,466.6666666666667,60.0,7000.0,1043.0
P224,15.0,466.6666666666667,75.0,7000.0,1134.0
P225,15.0,466.6666666666667,90.0,7000.0,1134.0
P226,15.0,466.6666666666667,105.0,7000.0,1134.0
P227,15.0,466.6666666666667,120.0,7000.0,1134.0
P228,15.0,466.6666666666667,135.0,7000.0,1134.0
P229,15.0,466.6666666666667,150.0,7000.0,1134.0
P230,15.0,466.6666666666667,165.0,7000.0,1134.0
P231,15.0,483.3333333333333,30.0,7250.0,1043.0
P232,15.0,483.3333333333333,45.0,7250.0,1043.0
P233,15.0,483.3333333333333,60.0,7250.0,1134.0
P234,15.0,483.3333333333333,75.0,7250.0,1134.0
P235,15.0,483.3333333333333,90.0,7250.0,1134.0
P236,15.0,483.3333333333333,105.0,7250.0,1134.0
P237,15.0,483.3333333333333,120.0,7250.0,1134.0
P238,15.0,483.3333333333333,135.0,7250.0,1134.0
P239,15.0,483.3333333333333,150.0,7250.0,1134.0
P240,15.0,483.3333333333333,165.0,7250.0,1134.0
P241,15.0,500.0,30.0,7500.0,1134.0
P242,15.0,500.0,45.0,7500.0,1134.0
P243,15.0,500.0,60.0,7500.0,1134.0
P244,15.0,500.0,75.0,7500.0,1134.0
P245,15.0,500.0,90.0,7500.0,1134.0
P246,15.0,500.0,105.0,7500.0,1134.0
P247,15.0,500.0,120.0,7500.0,1134.0
P248,15.0,500.0,135.0,7500.0,1134.0
P249,15.0,500.0,150.0,7500.0,1225.0
P250,15.0,500.0,165.0,7500.0,1225.0
P251,15.0,516.6666666666666,30.0,7749.999999999999,1134.0
P252,15.0,516.6666666666666,45.0,7749.999999999999,1134.0
P253,15.0,516.6666666666666,60.0,7749.999999999999,1134.0
P254,15.0,516.6666666666666,75.0,7749.999999999999,1134.0
P255,15.0,516.6666666666666,90.0,7749.999999999999,1134.0
P256,15.0,516.6666666666666,105.0,7749.999999999999,1134.0
P257,15.0,516.6666666666666,120.0,7749.999999999999,1134.0
P258,15.0,516.6666666666666,135.0,7749.999999999999,1134.0
P259,15.0,516.6666666666666,150.0,7749.999999999999,1134.0
P260,15.0,516.6666666666666,165.0,7749.999999999999,1225.0
P261,15.0,533.3333333333334,30.0,8000.000000000001,1134.0
P262,15.0,533.3333333333334,45.0,8000.000000000001,1134.0
P263,15.0,533.3333333333334,60.0,8000.000000000001,1134.0
P264,15.0,533.3333333333334,75.0,8000.000000000001,1134.0
P265,15.0,533.3333333333334,90.0,8000.000000000001,1134.0
P266,15.0,533.3333333333334,105.0,8000.000000000001,1134.0
P267,15.0,533.3333333333334,120.0,8000.000000000001,1225.0
P268,15.0,533.3333333333334,135.0,8000.000000000001,1134.0
P269,15.0,533.3333333333334,150.0,8000.000000000001,1134.0
P270,15.0,533.3333333333334,165.0,8000.000000000001,1225.0
P271,15.0,550.0,30.0,8250.0,1134.0
P272,15.0,550.0,45.0,8250.0,1134.0
P273,15.0,550.0,60.0,8250.0,1134.0
P274,15.0,550.0,75.0,8250.0,1134.0
P275,15.0,550.0,90.0,8250.0,1134.0
P276,15.0,550.0,105.0,8250.0,1134.0
P277,15.0,550.0,120.0,8250.0,1225.0
P278,15.0,550.0,135.0,8250.0,1225.0
P279,15.0,550.0,150.0,8250.0,1225.0
P280,15.0,550.0,165.0,8250.0,1225.0
P281,15.0,566.6666666666666,30.0,8500.0,1134.0
P282,15.0,566.6666666666666,45.0,8500.0,1134.0
P283,15.0,566.6666666666666,60.0,8500.0,1134.0
P284,15.0,566.6666666666666,75.0,8500.0,1134.0
P285,15.0,566.6666666666666,90.0,8500.0,1134.0
P286,15.0,566.6666666666666,105.0,8500.0,1134.0
P287,15.0,566.6666666666666,120.0,8500.0,1134.0
P288,15.0,566.6666666666666,135.0,8500.0,1225.0
P289,15.0,566.6666666666666,150.0,8500.0,1225.0
P290,15.0,566.6666666666666,165.0,8500.0,1225.0
P291,15.0,583.3333333333334,30.0,8750.0,1225.0
P292,15.0,583.3333333333334,45.0,8750.0,1225.0
P293,15.0,583.3333333333334,60.0,8750.0,1225.0
P294,15.0,583.3333333333334,75.0,8750.0,1225.0
P295,15.0,583.3333333333334,90.0,8750.0,1225.0
P296,15.0,583.3333333333334,105.0,8750.0,1225.0
P297,15.0,583.3333333333334,120.0,8750.0,1225.0
P298,15.0,583.3333333333334,135.0,8750.0,1225.0
P299,15.0,583.3333333333334,150.0,8750.0,1225.0
P300,15.0,583.3333333333334,165.0,8750.0,1225.0
P301,15.0,600.0,30.0,9000.0,1225.0
P302,15.0,600.0,45.0,9000.0,1225.0
P303,15.0,600.0,60.0,9000.0,1225.0
P304,15.0,600.0,75.0,9000.0,1225.0
P305,15.0,600.0,90.0,9000.0,1225.0
P306,15.0,600.0,105.0,9000.0,1225.0
P307,15.0,600.0,120.0,9000.0,1225.0
P308,15.0,600.0,135.0,9000.0,1225.0
P309,15.0,600.0,150.0,9000.0,1225.0
P310,15.0,600.0,165.0,9000.0,1225.0
P311,20.0,450.0,30.0,9000.0,1134.0
P312,20.0,450.0,45.0,9000.0,1134.0
P313,20.0,450.0,60.0,9000.0,1134.0
P314,20.0,450.0,75.0,9000.0,1134.0
P315,20.0,450.0,90.0,9000.0,1134.0
P316,20.0,450.0,105.0,9000.0,1134.0
P317,20.0,450.0,120.0,9000.0,1225.0
P318,20.0,450.0,135.0,9000.0,1225.0
P319,20.0,450.0,150.0,9000.0,1225.0
P320,20.0,450.0,165.0,9000.0,1225.0
P321,20.0,466.6666666666667,30.0,9333.333333333334,1225.0
P322,20.0,466.6666666666667,45.0,9333.333333333334,1225.0
P323,20.0,466.6666666666667,60.0,9333.333333333334,1225.0
P324,20.0,466.6666666666667,75.0,9333.333333333334,1225.0
P325,20.0,466.6666666666667,90.0,9333.333333333334,1225.0
P326,20.0,466.6666666666667,105.0,9333.333333333334,1225.0
P327,20.0,466.6666666666667,120.0,9333.333333333334,1361.0
P328,20.0,466.6666666666667,135.0,9333.333333333334,1361.0
P329,20.0,466.6666666666667,150.0,9333.333333333334,1361.0
P330,20.0,466.6666666666667,165.0,9333.333333333334,1225.0
P331,20.0,483.3333333333333,30.0,9666.666666666666,1225.0
P332,20.0,483.3333333333333,45.0,9666.666666666666,1225.0
P333,20.0,483.3333333333333,60.0,9666.666666666666,1225.0
P334,20.0,483.3333333333333,75.0,9666.666666666666,1225.0
P335,20.0,483.3333333333333,90.0,9666.666666666666,1225.0
P336,20.0,483.3333333333333,105.0,9666.666666666666,1225.0
P337,20.0,483.3333333333333,120.0,9666.666666666666,1225.0
P338,20.0,483.3333333333333,135.0,9666.666666666666,1361.0
P339,20.0,483.3333333333333,150.0,9666.666666666666,1361.0
P340,20.0,483.3333333333333,165.0,9666.666666666666,1361.0
P341,20.0,500.0,30.0,10000.0,1225.0
P342,20.0,500.0,45.0,10000.0,1225.0
P343,20.0,500.0,60.0,10000.0,1225.0
P344,20.0,500.0,75.0,10000.0,1225.0
P345,20.0,500.0,90.0,10000.0,1225.0
P346,20.0,500.0,105.0,10000.0,1361.0
P347,20.0,500.0,120.0,10000.0,1225.0
P348,20.0,500.0,135.0,10000.0,1361.0
P349,20.0,500.0,150.0,10000.0,1361.0
P350,20.0,500.0,165.0,10000.0,1361.0
P351,20.0,516.6666666666666,30.0,10333.333333333332,1225.0
P352,20.0,516.6666666666666,45.0,10333.333333333332,1225.0
P353,20.0,516.6666666666666,60.0,10333.333333333332,1225.0
P354,20.0,516.6666666666666,75.0,10333.333333333332,1225.0
P355,20.0,516.6666666666666,90.0,10333.333333333332,1225.0
P356,20.0,516.6666666666666,105.0,10333.333333333332,1361.0
P357,20.0,516.6666666666666,120.0,10333.333333333332,1361.0
P358,20.0,516.6666666666666,135.0,10333.333333333332,1361.0
P359,20.0,516.6666666666666,150.0,10333.333333333332,1361.0
P360,20.0,516.6666666666666,165.0,10333.333333333332,1361.0
P361,20.0,533.3333333333334,30.0,10666.666666666668,1315.0
P362,20.0,533.3333333333334,45.0,10666.666666666668,1315.0
P363,20.0,533.3333333333334,60.0,10666.666666666668,1315.0
P364,20.0,533.3333333333334,75.0,10666.666666666668,1315.0
P365,20.0,533.3333333333334,90.0,10666.666666666668,1361.0
P366,20.0,533.3333333333334,105.0,10666.666666666668,1361.0
P367,20.0,533.3333333333334,120.0,10666.666666666668,1361.0
P368,20.0,533.3333333333334,135.0,10666.666666666668,1361.0
P369,20.0,533.3333333333334,150.0,10666.666666666668,1361.0
P370,20.0,533.3333333333334,165.0,10666.666666666668,1361.0
P371,20.0,550.0,30.0,11000.0,1315.0
P372,20.0,550.0,45.0,11000.0,1315.0
P373,20.0,550.0,60.0,11000.0,1315.0
P374,20.0,550.0,75.0,11000.0,1315.0
P375,20.0,550.0,90.0,11000.0,1361.0
P376,20.0,550.0,105.0,11000.0,1361.0
P377,20.0,550.0,120.0,11000.0,1361.0
P378,20.0,550.0,135.0,11000.0,1451.0
P379,20.0,550.0,150.0,11000.0,1451.0
P380,20.0,550.0,165.0,11000.0,1361.0
P381,20.0,566.6666666666666,30.0,11333.333333333332,1315.0
P382,20.0,566.6666666666666,45.0,11333.333333333332,1315.0
P383,20.0,566.6666666666666,60.0,11333.333333333332,1315.0
P384,20.0,566.6666666666666,75.0,11333.333333333332,1315.0
P385,20.0,566.6666666666666,90.0,11333.333333333332,1361.0
P386,20.0,566.6666666666666,105.0,11333.333333333332,1361.0
P387,20.0,566.6666666666666,120.0,11333.333333333332,1361.0
P388,20.0,566.6666666666666,135.0,11333.333333333332,1361.0
P389,20.0,566.6666666666666,150.0,11333.333333333332,1451.0
P390,20.0,566.6666666666666,165.0,11333.333333333332,1451.0
P391,20.0,583.3333333333334,30.0,11666.666666666668,1315.0
P392,20.0,583.3333333333334,45.0,11666.666666666668,1315.0
P393,20.0,583.3333333333334,60.0,11666.666666666668,1315.0
P394,20.0,583.3333333333334,75.0,11666.666666666668,1361.0
P395,20.0,583.3333333333334,90.0,11666.666666666668,1361.0
P396,20.0,583.3333333333334,105.0,11666.666666666668,1361.0
P397,20.0,583.3333333333334,120.0,11666.666666666668,1361.0
P398,20.0,583.3333333333334,135.0,11666.666666666668,1361.0
P399,20.0,583.3333333333334,150.0,11666.666666666668,1451.0
P400,20.0,583.3333333333334,165.0,11666.666666666668,1451.0
P401,20.0,600.0,30.0,12000.0,1315.0
P402,20.0,600.0,45.0,12000.0,1315.0
P403,20.0,600.0,60.0,12000.0,1315.0
P404,20.0,600.0,75.0,12000.0,1451.0
P405,20.0,600.0,90.0,12000.0,1451.0
P406,20.0,600.0,105.0,12000.0,1451.0
P407,20.0,600.0,120.0,12000.0,1451.0
P408,20.0,600.0,135.0,12000.0,1451.0
P409,20.0,600.0,150.0,12000.0,1451.0
P410,20.0,600.0,165.0,12000.0,1451.0
P411,25.0,450.0,30.0,11250.0,1225.0
P412,25.0,450.0,45.0,11250.0,1225.0
P413,25.0,450.0,60.0,11250.0,1225.0
P414,25.0,450.0,75.0,11250.0,1361.0
P415,25.0,450.0,90.0,11250.0,1225.0
P416,25.0,450.0,105.0,11250.0,1361.0
P417,25.0,450.0,120.0,11250.0,1361.0
P418,25.0,450.0,135.0,11250.0,1361.0
P419,25.0,450.0,150.0,11250.0,1361.0
P420,25.0,450.0,165.0,11250.0,1361.0
P421,25.0,466.6666666666667,30.0,11666.666666666668,1315.0
P422,25.0,466.6666666666667,45.0,11666.666666666668,1315.0
P423,25.0,466.6666666666667,60.0,11666.666666666668,1315.0
P424,25.0,466.6666666666667,75.0,11666.666666666668,1361.0
P425,25.0,466.6666666666667,90.0,11666.666666666668,1361.0
P426,25.0,466.6666666666667,105.0,11666.666666666668,1451.0
P427,25.0,466.6666666666667,120.0,11666.666666666668,1451.0
P428,25.0,466.6666666666667,135.0,11666.666666666668,1451.0
P429,25.0,466.6666666666667,150.0,11666.666666666668,1451.0
P430,25.0,466.6666666666667,165.0,11666.666666666668,1451.0
P431,25.0,483.3333333333333,30.0,12083.333333333332,1315.0
P432,25.0,483.3333333333333,45.0,12083.333333333332,1315.0
P433,25.0,483.3333333333333,60.0,12083.333333333332,1315.0
P434,25.0,483.3333333333333,75.0,12083.333333333332,1451.0
P435,25.0,483.3333333333333,90.0,12083.333333333332,1451.0
P436,25.0,483.3333333333333,105.0,12083.333333333332,1451.0
P437,25.0,483.3333333333333,120.0,12083.333333333332,1451.0
P438,25.0,483.3333333333333,135.0,12083.333333333332,1451.0
P439,25.0,483.3333333333333,150.0,12083.333333333332,1451.0
P440,25.0,483.3333333333333,165.0,12083.333333333332,1451.0
P441,25.0,500.0,30.0,12500.0,1315.0
P442,25.0,500.0,45.0,12500.0,1315.0
P443,25.0,500.0,60.0,12500.0,1315.0
P444,25.0,500.0,75.0,12500.0,1451.0
P445,25.0,500.0,90.0,12500.0,1451.0
P446,25.0,500.0,105.0,12500.0,1451.0
P447,25.0,500.0,120.0,12500.0,1451.0
P448,25.0,500.0,135.0,12500.0,1451.0
P449,25.0,500.0,150.0,12500.0,1451.0
P450,25.0,500.0,165.0,12500.0,1542.0
P451,25.0,516.6666666666666,30.0,12916.666666666666,1451.0
P452,25.0,516.6666666666666,45.0,12916.666666666666,1451.0
P453,25.0,516.6666666666666,60.0,12916.666666666666,1451.0
P454,25.0,516.6666666666666,75.0,12916.666666666666,1451.0
P455,25.0,516.6666666666666,90.0,12916.666666666666,1451.0
P456,25.0,516.6666666666666,105.0,12916.666666666666,1451.0
P457,25.0,516.6666666666666,120.0,12916.666666666666,1451.0
P458,25.0,516.6666666666666,135.0,12916.666666666666,1451.0
P459,25.0,516.6666666666666,150.0,12916.666666666666,1451.0
P460,25.0,516.6666666666666,165.0,12916.666666666666,1542.0
P461,25.0,533.3333333333334,30.0,13333.333333333334,1451.0
P462,25.0,533.3333333333334,45.0,13333.333333333334,1451.0
P463,25.0,533.3333333333334,60.0,13333.333333333334,1451.0
P464,25.0,533.3333333333334,75.0,13333.333333333334,1451.0
P465,25.0,533.3333333333334,90.0,13333.333333333334,1451.0
P466,25.0,533.3333333333334,105.0,13333.333333333334,1451.0
P467,25.0,533.3333333333334,120.0,13333.333333333334,1542.0
P468,25.0,533.3333333333334,135.0,13333.333333333334,1542.0
P469,25.0,533.3333333333334,150.0,13333.333333333334,1542.0
P470,25.0,533.3333333333334,165.0,13333.333333333334,1542.0
P471,25.0,550.0,30.0,13750.0,1451.0
P472,25.0,550.0,45.0,13750.0,1451.0
P473,25.0,550.0,60.0,13750.0,1451.0
P474,25.0,550.0,75.0,13750.0,1451.0
P475,25.0,550.0,90.0,13750.0,1451.0
P476,25.0,550.0,105.0,13750.0,1451.0
P477,25.0,550.0,120.0,13750.0,1542.0
P478,25.0,550.0,135.0,13750.0,1542.0
P479,25.0,550.0,150.0,13750.0,1542.0
P480,25.0,550.0,165.0,13750.0,1542.0
P481,25.0,566.6666666666666,30.0,14166.666666666666,1451.0
P482,25.0,566.6666666666666,45.0,14166.666666666666,1542.0
P483,25.0,566.6666666666666,60.0,14166.666666666666,1542.0
P484,25.0,566.6666666666666,75.0,14166.666666666666,1542.0
P485,25.0,566.6666666666666,90.0,14166.666666666666,1542.0
P486,25.0,566.6666666666666,105.0,14166.666666666666,1542.0
P487,25.0,566.6666666666666,120.0,14166.666666666666,1542.0
P488,25.0,566.6666666666666,135.0,14166.666666666666,1542.0
P489,25.0,566.6666666666666,150.0,14166.666666666666,1542.0
P490,25.0,566.6666666666666,165.0,14166.666666666666,1542.0
P491,25.0,583.3333333333334,30.0,14583.333333333334,1451.0
