tag,diameter,ss_dist,pressure,trays_num,weight_kg
P152,1.0,21.4,1100.0,23.0,9300.0
P153,1.0,21.4,1100.0,24.0,9400.0
P154,1.0,21.4,1100.0,25.0,9500.0
P155,1.0,22.2,600.0,20.0,8500.0
P156,1.0,22.2,600.0,21.0,8600.0
P157,1.0,22.2,600.0,22.0,8700.0
P158,1.0,22.2,600.0,23.0,8800.0
P159,1.0,22.2,600.0,24.0,8900.0
P160,1.0,22.2,600.0,25.0,9000.0
P161,1.0,22.2,700.0,20.0,8500.0
P162,1.0,22.2,700.0,21.0,8600.0
P163,1.0,22.2,700.0,22.0,8700.0
P164,1.0,22.2,700.0,23.0,8800.0
P165,1.0,22.2,700.0,24.0,8900.0
P166,1.0,22.2,700.0,25.0,9000.0
P167,1.0,22.2,800.0,20.0,8500.0
P168,1.0,22.2,800.0,21.0,8600.0
P169,1.0,22.2,800.0,22.0,8700.0
P170,1.0,22.2,800.0,23.0,8800.0
P171,1.0,22.2,800.0,24.0,8900.0
P172,1.0,22.2,800.0,25.0,9000.0
P173,1.0,22.2,900.0,20.0,9200.0
P174,1.0,22.2,900.0,21.0,9300.0
P175,1.0,22.2,900.0,22.0,9400.0
P176,1.0,22.2,900.0,23.0,9500.0
P177,1.0,22.2,900.0,24.0,9600.0
P178,1.0,22.2,900.0,25.0,9700.0
P179,1.0,22.2,1000.0,20.0,9200.0
P180,1.0,22.2,1000.0,21.0,9300.0
P181,1.0,22.2,1000.0,22.0,9400.0
P182,1.0,22.2,1000.0,23.0,9500.0
P183,1.0,22.2,1000.0,24.0,9600.0
P184,1.0,22.2,1000.0,25.0,9700.0
P185,1.0,22.2,1100.0,20.0,9200.0
P186,1.0,22.2,1100.0,21.0,9300.0
P187,1.0,22.2,1100.0,22.0,9400.0
P188,1.0,22.2,1100.0,23.0,9500.0
P189,1.0,22.2,1100.0,24.0,9600.0
P190,1.0,22.2,1100.0,25.0,9700.0
P191,1.0,23.0,600.0,20.0,8700.0
P192,1.0,23.0,600.0,21.0,8800.0
P193,1.0,23.0,600.0,22.0,8900.0
P194,1.0,23.0,600.0,23.0,9000.0
P195,1.0,23.0,600.0,24.0,9100.0
P196,1.0,23.0,600.0,25.0,9200.0
P197,1.0,23.0,700.0,20.0,8700.0
P198,1.0,23.0,700.0,21.0,8800.0
P199,1.0,23.0,700.0,22.0,8900.0
P200,1.0,23.0,700.0,23.0,9000.0
P201,1.0,23.0,700.0,24.0,9100.0
P202,1.0,23.0,700.0,25.0,9200.0
P203,1.0,23.0,800.0,20.0,8700.0
P204,1.0,23.0,800.0,21.0,8800.0
P205,1.0,23.0,800.0,22.0,8900.0
P206,1.0,23.0,800.0,23.0,9000.0
P207,1.0,23.0,800.0,24.0,9100.0
P208,1.0,23.0,800.0,25.0,9200.0
P209,1.0,23.0,900.0,20.0,9300.0
P210,1.0,23.0,900.0,21.0,9400.0
P211,1.0,23.0,900.0,22.0,9500.0
P212,1.0,23.0,900.0,23.0,9600.0
P213,1.0,23.0,900.0,24.0,9700.0
P214,1.0,23.0,900.0,25.0,9800.0
P215,1.0,23.0,1000.0,20.0,9400.0
P216,1.0,23.0,1000.0,21.0,9500.0
P217,1.0,23.0,1000.0,22.0,9600.0
P218,1.0,23.0,1000.0,23.0,9700.0
P219,1.0,23.0,1000.0,24.0,9800.0
P220,1.0,23.0,1000.0,25.0,9900.0
P221,1.0,23.0,1100.0,20.0,9400.0
P222,1.0,23.0,1100.0,21.0,9500.0
P223,1.0,23.0,1100.0,22.0,9600.0
P224,1.0,23.0,1100.0,23.0,9700.0
P225,1.0,23.0,1100.0,24.0,9800.0
P226,1.0,23.0,1100.0,25.0,9900.0
P227,1.133333333333333,19.0,600.0,20.0,8900.0
P228,1.133333333333333,19.0,600.0,21.0,9000.0
P229,1.133333333333333,19.0,600.0,22.0,9200.0
P230,1.133333333333333,19.0,600.0,23.0,9300.0
P231,1.133333333333333,19.0,600.0,24.0,9500.0
P232,1.133333333333333,19.0,600.0,25.0,9600.0
P233,1.133333333333333,19.0,700.0,20.0,8900.0
P234,1.133333333333333,19.0,700.0,21.0,9000.0
P235,1.133333333333333,19.0,700.0,22.0,9200.0
P236,1.133333333333333,19.0,700.0,23.0,9300.0
P237,1.133333333333333,19.0,700.0,24.0,9500.0
P238,1.133333333333333,19.0,700.0,25.0,9600.0
P239,1.133333333333333,19.0,800.0,20.0,8900.0
P240,1.133333333333333,19.0,800.0,21.0,9000.0
P241,1.133333333333333,19.0,800.0,22.0,9200.0
P242,1.133333333333333,19.0,800.0,23.0,9300.0
P243,1.133333333333333,19.0,800.0,24.0,9500.0
P244,1.133333333333333,19.0,800.0,25.0,9600.0
P245,1.133333333333333,19.0,900.0,20.0,9600.0
P246,1.133333333333333,19.0,900.0,21.0,9700.0
P247,1.133333333333333,19.0,900.0,22.0,9900.0
P248,1.133333333333333,19.0,900.0,23.0,10000.0
P249,1.133333333333333,19.0,900.0,24.0,10200.0
P250,1.133333333333333,19.0,900.0,25.0,10300.0
P251,1.133333333333333,19.0,1000.0,20.0,9600.0
P252,1.133333333333333,19.0,1000.0,21.0,9700.0
P253,1.133333333333333,19.0,1000.0,22.0,9900.0
P254,1.133333333333333,19.0,1000.0,23.0,10000.0
P255,1.133333333333333,19.0,1000.0,24.0,10200.0
P256,1.133333333333333,19.0,1000.0,25.0,10300.0
P257,1.133333333333333,19.0,1100.0,20.0,10700.0
P258,1.133333333333333,19.0,1100.0,21.0,10800.0
P259,1.133333333333333,19.0,1100.0,22.0,11000.0
P260,1.133333333333333,19.0,1100.0,23.0,11100.0
P261,1.133333333333333,19.0,1100.0,24.0,11300.0
P262,1.133333333333333,19.0,1100.0,25.0,11400.0
P263,1.133333333333333,19.8,600.0,20.0,9200.0
P264,1.133333333333333,19.8,600.0,21.0,9300.0
P265,1.133333333333333,19.8,600.0,22.0,9500.0
P266,1.133333333333333,19.8,600.0,23.0,9600.0
P267,1.133333333333333,19.8,600.0,24.0,9800.0
P268,1.133333333333333,19.8,600.0,25.0,9900.0
P269,1.133333333333333,19.8,700.0,20.0,9200.0
P270,1.133333333333333,19.8,700.0,21.0,9300.0
P271,1.133333333333333,19.8,700.0,22.0,9500.0
P272,1.133333333333333,19.8,700.0,23.0,9600.0
P273,1.133333333333333,19.8,700.0,24.0,9800.0
P274,1.133333333333333,19.8,700.0,25.0,9900.0
P275,1.133333333333333,19.8,800.0,20.0,9200.0
P276,1.133333333333333,19.8,800.0,21.0,9300.0
P277,1.133333333333333,19.8,800.0,22.0,9500.0
P278,1.133333333333333,19.8,800.0,23.0,9600.0
P279,1.133333333333333,19.8,800.0,24.0,9800.0
P280,1.133333333333333,19.8,800.0,25.0,9900.0
P281,1.133333333333333,19.8,900.0,20.0,9800.0
P282,1.133333333333333,19.8,900.0,21.0,9900.0
P283,1.133333333333333,19.8,900.0,22.0,10100.0
P284,1.133333333333333,19.8,900.0,23.0,10200.0
P285,1.133333333333333,19.8,900.0,24.0,10400.0
P286,1.133333333333333,19.8,900.0,25.0,10500.0
P287,1.133333333333333,19.8,1000.0,20.0,9800.0
P288,1.133333333333333,19.8,1000.0,21.0,9900.0
P289,1.133333333333333,19.8,1000.0,22.0,10100.0
P290,1.133333333333333,19.8,1000.0,23.0,10200.0
P291,1.133333333333333,19.8,1000.0,24.0,10400.0
P292,1.133333333333333,19.8,1000.0,25.0,10500.0
P293,1.133333333333333,19.8,1100.0,20.0,11000.0
P294,1.133333333333333,19.8,1100.0,21.0,11100.0
P295,1.133333333333333,19.8,1100.0,22.0,11300.0
P296,1.133333333333333,19.8,1100.0,23.0,11400.0
P297,1.133333333333333,19.8,1100.0,24.0,11600.0
P298,1.133333333333333,19.8,1100.0,25.0,11700.0
P299,1.133333333333333,20.6,600.0,20.0,9400.0
P300,1.133333333333333,20.6,600.0,21.0,9500.0
P301,1.133333333333333,20.6,600.0,22.0,9700.0
P302,1.133333333333333,20.6,600.0,23.0,9800.0
P303,1.133333333333333,20.6,600.0,24.0,10000.0
P304,1.133333333333333,20.6,600.0,25.0,10100.0
P305,1.133333333333333,20.6,700.0,20.0,9400.0
P306,1.133333333333333,20.6,700.0,21.0,9500.0
P307,1.133333333333333,20.6,700.0,22.0,9700.0
P308,1.133333333333333,20.6,700.0,23.0,9800.0
P309,1.133333333333333,20.6,700.0,24.0,10000.0
P310,1.133333333333333,20.6,700.0,25.0,10100.0
P311,1.133333333333333,20.6,800.0,20.0,9400.0
P312,1.133333333333333,20.6,800.0,21.0,9500.0
P313,1.133333333333333,20.6,800.0,22.0,9700.0
P314,1.133333333333333,20.6,800.0,23.0,9800.0
P315,1.133333333333333,20.6,800.0,24.0,10000.0
P316,1.133333333333333,20.6,800.0,25.0,10100.0
P317,1.133333333333333,20.6,900.0,20.0,10000.0
P318,1.133333333333333,20.6,900.0,21.0,10100.0
P319,1.133333333333333,20.6,900.0,22.0,10300.0
P320,1.133333333333333,20.6,900.0,23.0,10400.0
P321,1.133333333333333,20.6,900.0,24.0,10600.0
P322,1.133333333333333,20.6,900.0,25.0,10700.0
P323,1.133333333333333,20.6,1000.0,20.0,11100.0
P324,1.133333333333333,20.6,1000.0,21.0,11200.0
P325,1.133333333333333,20.6,1000.0,22.0,11400.0
P326,1.133333333333333,20.6,1000.0,23.0,11500.0
P327,1.133333333333333,20.6,1000.0,24.0,11700.0
P328,1.133333333333333,20.6,1000.0,25.0,11800.0
P329,1.133333333333333,20.6,1100.0,20.0,11200.0
P330,1.133333333333333,20.6,1100.0,21.0,11300.0
P331,1.133333333333333,20.6,1100.0,22.0,11500.0
P332,1.133333333333333,20.6,1100.0,23.0,11600.0
P333,1.133333333333333,20.6,1100.0,24.0,11800.0
P334,1.133333333333333,20.6,1100.0,25.0,11900.0
P335,1.133333333333333,21.4,600.0,20.0,9600.0
P336,1.133333333333333,21.4,600.0,21.0,9700.0
P337,1.133333333333333,21.4,600.0,22.0,9900.0
P338,1.133333333333333,21.4,600.0,23.0,10000.0
P339,1.133333333333333,21.4,600.0,24.0,10200.0
P340,1.133333333333333,21.4,600.0,25.0,10300.0
P341,1.133333333333333,21.4,700.0,20.0,9600.0
P342,1.133333333333333,21.4,700.0,21.0,9700.0
P343,1.133333333333333,21.4,700.0,22.0,9900.0
P344,1.133333333333333,21.4,700.0,23.0,10000.0
P345,1.133333333333333,21.4,700.0,24.0,10200.0
P346,1.133333333333333,21.4,700.0,25.0,10300.0
P347,1.133333333333333,21.4,800.0,20.0,9600.0
P348,1.133333333333333,21.4,800.0,21.0,9700.0
P349,1.133333333333333,21.4,800.0,22.0,9900.0
P350,1.133333333333333,21.4,800.0,23.0,10000.0
P351,1.133333333333333,21.4,800.0,24.0,10200.0
P352,1.133333333333333,21.4,800.0,25.0,10300.0
P353,1.133333333333333,21.4,900.0,20.0,10200.0
P354,1.133333333333333,21.4,900.0,21.0,10300.0
P355,1.133333333333333,21.4,900.0,22.0,10500.0
P356,1.133333333333333,21.4,900.0,23.0,10600.0
P357,1.133333333333333,21.4,900.0,24.0,10800.0
P358,1.133333333333333,21.4,900.0,25.0,10900.0
P359,1.133333333333333,21.4,1000.0,20.0,11300.0
P360,1.133333333333333,21.4,1000.0,21.0,11400.0
P361,1.133333333333333,21.4,1000.0,22.0,11600.0
P362,1.133333333333333,21.4,1000.0,23.0,11700.0
P363,1.133333333333333,21.4,1000.0,24.0,11900.0
P364,1.133333333333333,21.4,1000.0,25.0,12000.0
P365,1.133333333333333,21.4,1100.0,20.0,11400.0
P366,1.133333333333333,21.4,1100.0,21.0,11500.0
P367,1.133333333333333,21.4,1100.0,22.0,11700.0
P368,1.133333333333333,21.4,1100.0,23.0,11800.0
P369,1.133333333333333,21.4,1100.0,24.0,12000.0
P370,1.133333333333333,21.4,1100.0,25.0,12100.0
P371,1.133333333333333,22.2,600.0,20.0,9700.0
P372,1.133333333333333,22.2,600.0,21.0,9800.0
P373,1.133333333333333,22.2,600.0,22.0,10000.0
P374,1.133333333333333,22.2,600.0,23.0,10100.0
P375,1.133333333333333,22.2,600.0,24.0,10300.0
P376,1.133333333333333,22.2,600.0,25.0,10400.0
P377,1.133333333333333,22.2,700.0,20.0,9700.0
P378,1.133333333333333,22.2,700.0,21.0,9800.0
P379,1.133333333333333,22.2,700.0,22.0,10000.0
P380,1.133333333333333,22.2,700.0,23.0,10100.0
P381,1.133333333333333,22.2,700.0,24.0,10300.0
P382,1.133333333333333,22.2,700.0,25.0,10400.0
P383,1.133333333333333,22.2,800.0,20.0,9700.0
P384,1.133333333333333,22.2,800.0,21.0,9800.0
P385,1.133333333333333,22.2,800.0,22.0,10000.0
P386,1.133333333333333,22.2,800.0,23.0,10100.0
P387,1.133333333333333,22.2,800.0,24.0,10300.0
P388,1.133333333333333,22.2,800.0,25.0,10400.0
P389,1.133333333333333,22.2,900.0,20.0,10400.0
P390,1.133333333333333,22.2,900.0,21.0,10500.0
P391,1.133333333333333,22.2,900.0,22.0,10700.0
P392,1.133333333333333,22.2,900.0,23.0,10800.0
P393,1.133333333333333,22.2,900.0,24.0,11000.0
P394,1.133333333333333,22.2,900.0,25.0,11100.0
P395,1.133333333333333,22.2,1000.0,20.0,11700.0
P396,1.133333333333333,22.2,1000.0,21.0,11800.0
P397,1.133333333333333,22.2,1000.0,22.0,12000.0
P398,1.133333333333333,22.2,1000.0,23.0,12100.0
P399,1.133333333333333,22.2,1000.0,24.0,12300.0
P400,1.133333333333333,22.2,1000.0,25.0,12400.0
P401,1.133333333333333,22.2,1100.0,20.0,11700.0
P402,1.133333333333333,22.2,1100.0,21.0,11800.0
P403,1.133333333333333,22.2,1100.0,22.0,12000.0
P404,1.133333333333333,22.2,1100.0,23.0,12100.0
P405,1.133333333333333,22.2,1100.0,24.0,12300.0
P406,1.133333333333333,22.2,1100.0,25.0,12400.0
P407,1.133333333333333,23.0,600.0,20.0,10000.0
P408,1.133333333333333,23.0,600.0,21.0,10100.0
P409,1.133333333333333,23.0,600.0,22.0,10300.0
P410,1.133333333333333,23.0,600.0,23.0,10400.0
P411,1.133333333333333,23.0,600.0,24.0,10600.0
P412,1.133333333333333,23.0,600.0,25.0,10700.0
P413,1.133333333333333,23.0,700.0,20.0,10000.0
P414,1.133333333333333,23.0,700.0,21.0,10100.0
P415,1.133333333333333,23.0,700.0,22.0,10300.0
P416,1.133333333333333,23.0,700.0,23.0,10400.0
P417,1.133333333333333,23.0,700.0,24.0,10600.0
P418,1.133333333333333,23.0,700.0,25.0,10700.0
P419,1.133333333333333,23.0,800.0,20.0,10000.0
P420,1.133333333333333,23.0,800.0,21.0,10100.0
P421,1.133333333333333,23.0,800.0,22.0,10300.0
P422,1.133333333333333,23.0,800.0,23.0,10400.0
P423,1.133333333333333,23.0,800.0,24.0,10600.0
P424,1.133333333333333,23.0,800.0,25.0,10700.0
P425,1.133333333333333,23.0,900.0,20.0,10700.0
P426,1.133333333333333,23.0,900.0,21.0,10800.0
P427,1.133333333333333,23.0,900.0,22.0,11000.0
P428,1.133333333333333,23.0,900.0,23.0,11100.0
P429,1.133333333333333,23.0,900.0,24.0,11300.0
P430,1.133333333333333,23.0,900.0,25.0,11400.0
P431,1.133333333333333,23.0,1000.0,20.0,12000.0
P432,1.133333333333333,23.0,1000.0,21.0,12100.0
P433,1.133333333333333,23.0,1000.0,22.0,12300.0
P434,1.133333333333333,23.0,1000.0,23.0,12400.0
P435,1.133333333333333,23.0,1000.0,24.0,12600.0
P436,1.133333333333333,23.0,1000.0,25.0,12700.0
P437,1.133333333333333,23.0,1100.0,20.0,12000.0
P438,1.133333333333333,23.0,1100.0,21.0,12100.0
P439,1.133333333333333,23.0,1100.0,22.0,12300.0
P440,1.133333333333333,23.0,1100.0,23.0,12400.0
P441,1.133333333333333,23.0,1100.0,24.0,12600.0
P442,1.133333333333333,23.0,1100.0,25.0,12700.0
P443,1.266666666666667,19.0,600.0,20.0,10600.0
P444,1.266666666666667,19.0,600.0,21.0,10700.0
P445,1.266666666666667,19.0,600.0,22.0,10900.0
P446,1.266666666666667,19.0,600.0,23.0,11100.0
P447,1.266666666666667,19.0,600.0,24.0,11300.0
P448,1.266666666666667,19.0,600.0,25.0,11400.0
P449,1.266666666666667,19.0,700.0,20.0,10600.0
P450,1.266666666666667,19.0,700.0,21.0,10700.0
P451,1.266666666666667,19.0,700.0,22.0,10900.0
P452,1.266666666666667,19.0,700.0,23.0,11100.0
P453,1.266666666666667,19.0,700.0,24.0,11300.0
P454,1.266666666666667,19.0,700.0,25.0,11400.0
P455,1.266666666666667,19.0,800.0,20.0,10600.0
P456,1.266666666666667,19.0,800.0,21.0,10700.0
P457,1.266666666666667,19.0,800.0,22.0,10900.0
P458,1.266666666666667,19.0,800.0,23.0,11100.0
P459,1.266666666666667,19.0,800.0,24.0,11300.0
P460,1.266666666666667,19.0,800.0,25.0,11400.0
P461,1.266666666666667,19.0,900.0,20.0,12900.0
P462,1.266666666666667,19.0,900.0,21.0,13000.0
P463,1.266666666666667,19.0,900.0,22.0,13200.0
P464,1.266666666666667,19.0,900.0,23.0,13400.0
P465,1.266666666666667,19.0,900.0,24.0,13600.0
P466,1.266666666666667,19.0,900.0,25.0,13700.0
P467,1.266666666666667,19.0,1000.0,20.0,12900.0
P468,1.266666666666667,19.0,1000.0,21.0,13000.0
P469,1.266666666666667,19.0,1000.0,22.0,13200.0
P470,1.266666666666667,19.0,1000.0,23.0,13400.0
P471,1.266666666666667,19.0,1000.0,24.0,13600.0
P472,1.266666666666667,19.0,1000.0,25.0,13700.0
P473,1.266666666666667,19.0,1100.0,20.0,12900.0
P474,1.266666666666667,19.0,1100.0,21.0,13000.0
P475,1.266666666666667,19.0,1100.0,22.0,13200.0
P476,1.266666666666667,19.0,1100.0,23.0,13400.0
P477,1.266666666666667,19.0,1100.0,24.0,13600.0
P478,1.266666666666667,19.0,1100.0,25.0,13700.0
P479,1.266666666666667,19.8,600.0,20.0,10800.0
P480,1.266666666666667,19.8,600.0,21.0,10900.0
P481,1.266666666666667,19.8,600.0,22.0,11100.0
P482,1.266666666666667,19.8,600.0,23.0,11300.0
P483,1.266666666666667,19.8,600.0,24.0,11500.0
P484,1.266666666666667,19.8,600.0,25.0,11600.0
P485,1.266666666666667,19.8,700.0,20.0,10800.0
P486,1.266666666666667,19.8,700.0,21.0,10900.0
P487,1.266666666666667,19.8,700.0,22.0,11100.0
P488,1.266666666666667,19.8,700.0,23.0,11300.0
P489,1.266666666666667,19.8,700.0,24.0,11500.0
P490,1.266666666666667,19.8,700.0,25.0,11600.0
P491,1.266666666666667,19.8,800.0,20.0,10900.0
P492,1.266666666666667,19.8,800.0,21.0,11000.0
P493,1.266666666666667,19.8,800.0,22.0,11200.0
P494,1.266666666666667,19.8,800.0,23.0,11400.0
P495,1.266666666666667,19.8,800.0,24.0,11600.0
P496,1.266666666666667,19.8,800.0,25.0,11700.0
P497,1.266666666666667,19.8,900.0,20.0,13200.0
P498,1.266666666666667,19.8,900.0,21.0,13300.0
P499,1.266666666666667,19.8,900.0,22.0,13500.0
P500,1.266666666666667,19.8,900.0,23.0,13700.0
P501,1.266666666666667,19.8,900.0,24.0,13900.0
P502,1.266666666666667,19.8,900.0,25.0,14000.0
P503,1.266666666666667,19.8,1000.0,20.0,13200.0
P504,1.266666666666667,19.8,1000.0,21.0,13300.0
P505,1.266666666666667,19.8,1000.0,22.0,13500.0
P506,1.266666666666667,19.8,1000.0,23.0,13700.0
P507,1.266666666666667,19.8,1000.0,24.0,13900.0
P508,1.266666666666667,19.8,1000.0,25.0,14000.0
P509,1.266666666666667,19.8,1100.0,20.0,13200.0
P510,1.266666666666667,19.8,1100.0,21.0,13300.0
P511,1.266666666666667,19.8,1100.0,22.0,13500.0
P512,1.266666666666667,19.8,1100.0,23.0,13700.0
P513,1.266666666666667,19.8,1100.0,24.0,13900.0
P514,1.266666666666667,19.8,1100.0,25.0,14000.0
P515,1.266666666666667,20.6,600.0,20.0,11000.0
P516,1.266666666666667,20.6,600.0,21.0,11100.0
P517,1.266666666666667,20.6,600.0,22.0,11300.0
P518,1.266666666666667,20.6,600.0,23.0,11500.0
P519,1.266666666666667,20.6,600.0,24.0,11700.0
P520,1.266666666666667,20.6,600.0,25.0,11800.0
P521,1.266666666666667,20.6,700.0,20.0,11000.0
P522,1.266666666666667,20.6,700.0,21.0,11100.0
P523,1.266666666666667,20.6,700.0,22.0,11300.0
P524,1.266666666666667,20.6,700.0,23.0,11500.0
P525,1.266666666666667,20.6,700.0,24.0,11700.0
P526,1.266666666666667,20.6,700.0,25.0,11800.0
P527,1.266666666666667,20.6,800.0,20.0,11100.0
P528,1.266666666666667,20.6,800.0,21.0,11200.0
P529,1.266666666666667,20.6,800.0,22.0,11400.0
P530,1.266666666666667,20.6,800.0,23.0,11600.0
P531,1.266666666666667,20.6,800.0,24.0,11800.0
P532,1.266666666666667,20.6,800.0,25.0,11900.0
